iter	Passed	Remaining
0	98	98102
1	99	49689
2	100	33565
3	104	26083
4	107	21391
5	109	18107
6	110	15728
7	112	13935
8	113	12528
9	115	11397
10	116	10472
11	119	9825
12	120	9160
13	122	8598
14	123	8107
15	125	7702
16	126	7339
17	128	7021
18	133	6879
19	135	6635
20	137	6394
21	138	6161
22	139	5943
23	141	5748
24	142	5566
25	145	5466
26	149	5393
27	151	5256
28	153	5149
29	155	5017
30	156	4892
31	157	4772
32	159	4663
33	160	4569
34	164	4536
35	166	4463
36	168	4385
37	170	4311
38	171	4229
39	172	4151
40	174	4079
41	177	4049
42	179	3990
43	180	3926
44	183	3885
45	184	3826
46	185	3768
47	187	3711
48	188	3657
49	189	3607
50	193	3604
51	195	3567
52	197	3524
53	198	3482
54	200	3441
55	201	3402
56	203	3360
57	204	3322
58	208	3328
59	210	3299
60	212	3274
61	214	3241
62	215	3206
63	216	3173
64	218	3140
65	219	3111
66	223	3107
67	224	3078
68	225	3048
69	227	3021
70	228	2993
71	230	2967
72	231	2941
73	232	2914
74	234	2888
75	235	2864
76	238	2862
77	240	2838
78	241	2820
79	243	2797
80	244	2774
81	245	2752
82	246	2724
83	247	2702
84	249	2682
85	250	2664
86	253	2664
87	255	2647
88	256	2628
89	258	2610
90	259	2592
91	260	2574
92	262	2557
93	263	2540
94	264	2523
95	268	2525
96	269	2509
97	270	2493
98	272	2478
99	273	2464
100	275	2450
101	276	2435
102	278	2426
103	280	2413
104	282	2411
105	284	2403
106	286	2392
107	288	2381
108	290	2370
109	292	2364
110	293	2350
111	294	2338
112	296	2325
113	298	2316
114	299	2304
115	300	2291
116	302	2280
117	303	2268
118	304	2256
119	306	2244
120	307	2233
121	308	2222
122	312	2229
123	314	2221
124	316	2212
125	317	2202
126	318	2190
127	320	2181
128	321	2170
129	322	2160
130	326	2163
131	327	2154
132	329	2145
133	330	2135
134	331	2126
135	333	2117
136	334	2107
137	335	2098
138	337	2088
139	338	2079
140	341	2082
141	342	2070
142	344	2061
143	345	2053
144	346	2045
145	348	2037
146	349	2030
147	351	2022
148	352	2013
149	353	2005
150	357	2007
151	358	2001
152	360	1993
153	361	1985
154	368	2007
155	374	2028
156	377	2025
157	379	2021
158	381	2016
159	382	2008
160	383	1999
161	387	2005
162	390	2004
163	392	2001
164	394	1997
165	396	1992
166	398	1985
167	399	1978
168	402	1980
169	404	1973
170	405	1966
171	407	1959
172	408	1952
173	409	1945
174	411	1938
175	412	1931
176	413	1924
177	415	1917
178	418	1918
179	419	1912
180	421	1905
181	422	1898
182	423	1892
183	425	1885
184	426	1878
185	427	1871
186	429	1867
187	432	1868
188	434	1862
189	435	1856
190	437	1851
191	438	1845
192	439	1839
193	441	1833
194	442	1826
195	443	1821
196	445	1815
197	448	1815
198	449	1810
199	451	1804
200	452	1799
201	453	1793
202	455	1787
203	456	1781
204	458	1776
205	460	1773
206	463	1776
207	465	1771
208	466	1766
209	468	1762
210	470	1759
211	472	1754
212	473	1749
213	474	1744
214	476	1738
215	479	1742
216	482	1739
217	483	1736
218	485	1731
219	486	1726
220	488	1720
221	489	1716
222	491	1711
223	492	1707
224	494	1703
225	495	1698
226	497	1695
227	499	1691
228	503	1696
229	506	1695
230	508	1692
231	510	1689
232	511	1685
233	513	1681
234	515	1677
235	516	1673
236	518	1669
237	520	1665
238	523	1665
239	524	1662
240	526	1659
241	528	1655
242	530	1651
243	534	1656
244	537	1657
245	539	1654
246	541	1650
247	543	1647
248	544	1643
249	547	1641
250	548	1636
251	549	1632
252	553	1634
253	555	1630
254	556	1626
255	559	1624
256	560	1620
257	561	1616
258	563	1611
259	564	1607
260	566	1603
261	570	1607
262	573	1606
263	575	1604
264	577	1601
265	578	1596
266	580	1592
267	581	1588
268	586	1594
269	589	1592
270	592	1593
271	593	1589
272	595	1585
273	596	1581
274	600	1583
275	602	1579
276	603	1575
277	605	1572
278	606	1568
279	608	1563
280	609	1559
281	610	1555
282	614	1556
283	616	1553
284	618	1550
285	619	1547
286	621	1543
287	622	1539
288	623	1535
289	625	1531
290	626	1526
291	630	1528
292	631	1524
293	633	1520
294	634	1517
295	636	1513
296	637	1509
297	639	1505
298	640	1501
299	641	1497
300	645	1499
301	647	1496
302	649	1493
303	650	1489
304	651	1485
305	653	1481
306	654	1477
307	656	1473
308	657	1470
309	661	1472
310	663	1470
311	665	1468
312	668	1466
313	669	1463
314	671	1459
315	672	1455
316	676	1457
317	678	1455
318	679	1451
319	681	1447
320	682	1444
321	684	1440
322	685	1436
323	687	1433
324	689	1431
325	691	1429
326	693	1426
327	694	1423
328	696	1420
329	698	1417
330	699	1413
331	700	1409
332	702	1406
333	704	1405
334	706	1402
335	707	1398
336	709	1395
337	710	1391
338	711	1388
339	713	1385
340	714	1381
341	716	1377
342	717	1374
343	720	1374
344	722	1371
345	723	1368
346	725	1364
347	726	1361
348	727	1357
349	729	1354
350	730	1350
351	731	1346
352	735	1348
353	739	1349
354	741	1346
355	743	1344
356	745	1342
357	747	1340
358	751	1342
359	754	1341
360	757	1341
361	759	1339
362	762	1337
363	764	1335
364	769	1337
365	772	1337
366	774	1335
367	776	1333
368	778	1331
369	782	1333
370	785	1331
371	787	1329
372	790	1328
373	792	1326
374	794	1323
375	798	1325
376	800	1323
377	802	1320
378	804	1318
379	806	1315
380	808	1313
381	809	1310
382	814	1312
383	816	1309
384	818	1307
385	819	1304
386	821	1301
387	822	1297
388	824	1294
389	825	1291
390	828	1291
391	830	1287
392	831	1284
393	833	1281
394	834	1277
395	835	1274
396	836	1271
397	838	1267
398	839	1264
399	841	1261
400	844	1261
401	845	1257
402	846	1254
403	848	1251
404	849	1248
405	850	1245
406	852	1241
407	853	1238
408	854	1235
409	855	1231
410	859	1231
411	861	1229
412	863	1226
413	864	1224
414	866	1221
415	867	1218
416	869	1215
417	870	1212
418	872	1209
419	875	1208
420	877	1206
421	878	1203
422	880	1200
423	881	1197
424	883	1194
425	884	1191
426	885	1188
427	888	1188
428	890	1185
429	892	1183
430	894	1180
431	896	1178
432	897	1175
433	899	1173
434	901	1170
435	904	1170
436	906	1167
437	907	1164
438	909	1162
439	911	1159
440	912	1156
441	913	1153
442	915	1150
443	916	1147
444	919	1146
445	920	1143
446	922	1141
447	923	1138
448	925	1135
449	926	1132
450	928	1129
451	929	1126
452	931	1124
453	932	1121
454	934	1119
455	936	1117
456	938	1114
457	940	1112
458	942	1110
459	943	1107
460	945	1105
461	946	1102
462	949	1101
463	951	1099
464	953	1097
465	955	1095
466	957	1092
467	958	1089
468	959	1086
469	961	1084
470	964	1083
471	966	1081
472	968	1078
473	969	1075
474	970	1072
475	972	1070
476	973	1067
477	974	1064
478	976	1062
479	979	1061
480	981	1059
481	983	1056
482	984	1054
483	986	1051
484	987	1049
485	989	1046
486	990	1043
487	992	1041
488	995	1040
489	997	1038
490	1000	1036
491	1001	1034
492	1003	1031
493	1008	1033
494	1010	1031
495	1012	1028
496	1014	1026
497	1016	1024
498	1017	1022
499	1019	1019
500	1021	1017
501	1025	1016
502	1026	1014
503	1028	1012
504	1030	1010
505	1031	1007
506	1033	1005
507	1035	1002
508	1039	1002
509	1043	1002
510	1046	1001
511	1048	999
512	1050	997
513	1055	997
514	1057	996
515	1059	993
516	1061	991
517	1063	989
518	1065	987
519	1070	987
520	1071	985
521	1074	983
522	1076	981
523	1078	979
524	1080	977
525	1081	974
526	1084	973
527	1086	971
528	1088	969
529	1090	967
530	1092	964
531	1094	962
532	1096	960
533	1100	960
534	1102	958
535	1104	956
536	1107	954
537	1109	952
538	1111	950
539	1113	948
540	1116	947
541	1118	944
542	1119	942
543	1121	940
544	1123	938
545	1125	935
546	1127	933
547	1133	934
548	1135	932
549	1136	930
550	1139	928
551	1141	926
552	1146	926
553	1153	928
554	1156	927
555	1158	924
556	1162	924
557	1164	922
558	1166	920
559	1168	917
560	1170	915
561	1180	920
562	1182	917
563	1185	916
564	1186	913
565	1188	911
566	1190	909
567	1193	907
568	1195	905
569	1197	903
570	1198	900
571	1200	898
572	1202	896
573	1203	893
574	1205	890
575	1208	889
576	1210	887
577	1211	884
578	1212	881
579	1213	879
580	1215	876
581	1216	873
582	1218	871
583	1219	868
584	1221	866
585	1224	864
586	1225	862
587	1226	859
588	1228	857
589	1229	854
590	1231	851
591	1233	850
592	1234	847
593	1236	844
594	1240	844
595	1241	841
596	1242	839
597	1244	836
598	1246	834
599	1247	831
600	1248	829
601	1250	826
602	1251	823
603	1254	822
604	1256	820
605	1257	817
606	1259	815
607	1260	812
608	1261	810
609	1263	807
610	1264	805
611	1266	802
612	1269	801
613	1270	798
614	1272	796
615	1273	794
616	1275	791
617	1276	788
618	1277	786
619	1279	783
620	1280	781
621	1281	778
622	1284	777
623	1286	775
624	1288	772
625	1290	770
626	1291	768
627	1293	766
628	1294	763
629	1295	761
630	1299	759
631	1300	757
632	1302	755
633	1304	752
634	1306	751
635	1308	748
636	1309	746
637	1311	744
638	1314	742
639	1316	740
640	1317	737
641	1319	735
642	1320	733
643	1322	730
644	1323	728
645	1324	725
646	1326	723
647	1329	722
648	1330	719
649	1332	717
650	1333	714
651	1335	712
652	1337	710
653	1338	708
654	1340	705
655	1341	703
656	1343	701
657	1345	699
658	1347	697
659	1348	694
660	1350	692
661	1351	690
662	1353	687
663	1354	685
664	1355	683
665	1357	680
666	1360	679
667	1361	676
668	1362	674
669	1363	671
670	1365	669
671	1366	667
672	1368	664
673	1369	662
674	1370	660
675	1372	657
676	1375	656
677	1377	654
678	1378	651
679	1379	649
680	1381	646
681	1382	644
682	1383	642
683	1385	639
684	1386	637
685	1389	635
686	1390	633
687	1392	631
688	1394	629
689	1395	627
690	1397	624
691	1398	622
692	1399	620
693	1401	617
694	1404	616
695	1406	614
696	1407	611
697	1409	609
698	1410	607
699	1411	605
